imdbid,title,IMDB_Score,genres,poster_link
737,Ek Ladki Ko Dekha Toh Aisa Laga (2019),5.5,"Comedy, Drama, Romance","https://m.media-amazon.com/images/M/MV5BZTNlY2YyOGYtZWFhYy00MDc3LTliYzMtZTUyYzVlNjQxZGRjXkEyXkFqcGdeQXVyNjE1OTQ0NjA@._V1_UY98_CR3,0,67,98_AL_.jpg"
738,The Perfect Candidate (2019),5.7,Drama,"https://m.media-amazon.com/images/M/MV5BZTYxNzhiMWQtYmFjMy00ZTRkLTljN2UtNmM1OTRhMTI4NDdhXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_UY98_CR1,0,67,98_AL_.jpg"
739,"Mektoub, My Love_ Intermezzo (2019)",3.8,"Comedy, Romance","https://m.media-amazon.com/images/M/MV5BNjcyY2FhYWQtZmQwYS00OWIwLTk2NmEtZGQ5MDVhN2FmODMxXkEyXkFqcGdeQXVyNjgzMjQ0MTA@._V1_UY98_CR1,0,67,98_AL_.jpg"
740,An Easy Girl (2019),6.1,"Comedy, Drama","https://m.media-amazon.com/images/M/MV5BNWE5YTc3YmItYWUyNi00ZmMyLWI2OTAtZWE0MTY0ZDhiNzI1XkEyXkFqcGdeQXVyNDY2NDMxNDY@._V1_UY98_CR3,0,67,98_AL_.jpg"
741,Children of the Sea (2019),6.5,"Animation, Adventure, Fantasy","https://m.media-amazon.com/images/M/MV5BN2M4OWIzMjgtMmIzZS00ZmEzLTkwNWUtNTFmZGIwMzQyZjdmXkEyXkFqcGdeQXVyNDQxNjcxNQ@@._V1_UY98_CR1,0,67,98_AL_.jpg"
742,Ventajas de viajar en tren (2019),7.5,Thriller,"https://m.media-amazon.com/images/M/MV5BMWZhOTNhZTktYTBiNy00YjRiLTgxNWItYWVhMThkYmU0NGZjXkEyXkFqcGdeQXVyMTM2Mzg4MA@@._V1_UY98_CR1,0,67,98_AL_.jpg"
743,Sword of Trust (2019),6.3,"Comedy, Drama","https://m.media-amazon.com/images/M/MV5BYTY4YmIxMDgtZTE5NS00YTQwLWIwZjctYmIwZTI5OGMyMjNhXkEyXkFqcGdeQXVyODY3Nzc0OTk@._V1_UX67_CR0,0,67,98_AL_.jpg"
744,The Untold Story (2019),5.8,"Comedy, Drama","https://m.media-amazon.com/images/M/MV5BOWI1MDdmNzUtZTNhZC00YWZhLThkYWYtMGYzM2YzMmQ2NTFlXkEyXkFqcGdeQXVyNjk2MjA4MDY@._V1_UY98_CR3,0,67,98_AL_.jpg"
745,Setters (2019),5.2,Thriller,"https://m.media-amazon.com/images/M/MV5BNWUwYzRjMTQtNWEzNC00ZmU0LWI1YWUtZGRkMjljZmRkMjJjXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UY98_CR0,0,67,98_AL_.jpg"
746,Lucifer (2019),7.5,"Action, Crime, Drama","https://m.media-amazon.com/images/M/MV5BZjE2MzFiZGUtMGM2Ny00ZWQyLTg5YzYtZGE5YWM0YzYwMDY4XkEyXkFqcGdeQXVyOTY5MTE4MjA@._V1_UY98_CR0,0,67,98_AL_.jpg"
747,Porno (2019),5.5,"Comedy, Horror","https://m.media-amazon.com/images/M/MV5BMDViOGFjMzMtNmFkZS00ZDgxLWEzMGMtODFmZjkyMmU4NGI3XkEyXkFqcGdeQXVyNDc1MDExNzQ@._V1_UX67_CR0,0,67,98_AL_.jpg"
748,Undercover Brother 2 (2019),,Comedy,"https://m.media-amazon.com/images/M/MV5BNWRmN2NiZjYtOGJmNy00NGFhLTk5MTktNzgyNGYzMWQ5NmU3XkEyXkFqcGdeQXVyNDExODY2MjU@._V1_UY98_CR1,0,67,98_AL_.jpg"
749,Chopsticks (2019),6.5,"Comedy, Drama","https://m.media-amazon.com/images/M/MV5BNjI1MTgwYmQtMzljYi00YjAyLWI2NzItNDNiZGUzYjc4MTRlXkEyXkFqcGdeQXVyOTAzMTc2MjA@._V1_UY98_CR15,0,67,98_AL_.jpg"
750,Kolaiyuthir Kaalam (2019),3.8,"Drama, Thriller","https://m.media-amazon.com/images/M/MV5BODVmMzIxOWQtMTdjMy00Y2I2LTkyMjktOGQ0NTZhZDAxOWI3XkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_UY98_CR7,0,67,98_AL_.jpg"
751,Cuddle Weather (2019),8.5,"Drama, Romance","https://m.media-amazon.com/images/M/MV5BNWEzZDc2OWMtZWM1MS00NzM2LWFlNjYtMzcwMGI2MDNkYTk0XkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_UY98_CR0,0,67,98_AL_.jpg"
752,Sweetheart (2019),5.3,"Horror, Thriller","https://m.media-amazon.com/images/M/MV5BYTBhZTIxZGYtNzhjZi00MTA3LWE4OGUtMGIwYWMxYzFhMGRmXkEyXkFqcGdeQXVyMjY5ODI4NDk@._V1_UX67_CR0,0,67,98_AL_.jpg"
753,Family History (2019),8.3,Drama,"https://m.media-amazon.com/images/M/MV5BN2I2NzNmMTYtNTQyMy00NGY4LThiOTUtZDA2OTAxOTI3NTEyXkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_UY98_CR1,0,67,98_AL_.jpg"
754,Days of the Bagnold Summer (2019),7.2,Comedy,"https://m.media-amazon.com/images/M/MV5BOTkyNTM5MzgtMjgxZi00ZjZhLTk3ZGMtNzJlYzkwM2RmMWIzXkEyXkFqcGdeQXVyNjgzMjQ0MTA@._V1_UX67_CR0,0,67,98_AL_.jpg"
755,Bottom of the 9th (2019),5.4,Drama,"https://m.media-amazon.com/images/M/MV5BZjAxN2UwMzctZDA2MC00MTJlLTliYWMtNGM0NTRmMzg4YjRkXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UY98_CR0,0,67,98_AL_.jpg"
756,The Final Scream (2019),8.2,Horror,"https://m.media-amazon.com/images/M/MV5BNWE2MzdhNzYtNTkzYi00MmVlLWEwYjUtNjU5MzY3NWQzOTc4XkEyXkFqcGdeQXVyMjM4MTU4NjQ@._V1_UY98_CR1,0,67,98_AL_.jpg"
757,Kardec (2019),6.2,Biography,"https://m.media-amazon.com/images/M/MV5BZmRjZmMyN2EtM2YzMy00ZGRmLTk5MmQtMzZjMDNjZjJiZWM1XkEyXkFqcGdeQXVyMzM1OTgxMDc@._V1_UX67_CR0,0,67,98_AL_.jpg"
758,Sweetness in the Belly (2019),7.7,Drama,"https://m.media-amazon.com/images/M/MV5BMWQ4NDEwZDktZTcyMC00M2VmLThlNjEtMzdmZmZiMDc4MTMxXkEyXkFqcGdeQXVyNTQxOTM1NTc@._V1_UY98_CR53,0,67,98_AL_.jpg"
759,Sonchiriya (2019),7.5,"Action, Crime, Drama","https://m.media-amazon.com/images/M/MV5BY2YyZmI2NGQtNzNjOS00MTY1LTkxNWEtNzg0YWYzOGZiMzcyXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UY98_CR0,0,67,98_AL_.jpg"
760,End of Sentence (2019),7.9,Drama,"https://m.media-amazon.com/images/M/MV5BZDVmOTkwMjEtOWQ1Ny00Nzc2LWJmNmEtMWVkYTAxNzc0YWJlXkEyXkFqcGdeQXVyMTg4NzM5NDM@._V1_UX67_CR0,0,67,98_AL_.jpg"
761,Beneath the Leaves (2019),4.5,Thriller,"https://m.media-amazon.com/images/M/MV5BZTQ1YzVjM2UtYjBlYi00MTkxLThkNmYtODkzNmU2YWZhYTVmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjgxNTI5NDU@._V1_UX67_CR0,0,67,98_AL_.jpg"
762,4L (2019),5.8,"Comedy, Drama","https://m.media-amazon.com/images/M/MV5BZTVmNmY3M2UtZmVlNy00NTMzLTk5MzktYzYyYzY3Y2JiZTAwXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY98_CR1,0,67,98_AL_.jpg"
763,To the Stars (2019),7.2,Drama,"https://m.media-amazon.com/images/M/MV5BYzYzOTE1NWEtY2NkZi00NTIzLThhZWItM2QxMjA0OWQwMDI5XkEyXkFqcGdeQXVyNTY0NTI0MDE@._V1_UX67_CR0,0,67,98_AL_.jpg"
764,Blackfox (2019),6.9,"Animation, Action, Adventure","https://m.media-amazon.com/images/M/MV5BZTc3Y2ZhYTAtMjRlZS00YTY2LWIyOWMtMmYxYjUyNzA3NzVlXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_UX67_CR0,0,67,98_AL_.jpg"
765,Georgetown (2019),7.2,"Biography, Crime, Drama","https://m.media-amazon.com/images/M/MV5BYzMyYzMzOWYtMWNhYS00ZGQ0LWI4M2UtZmVmNzJjYjAzNjdmXkEyXkFqcGdeQXVyNzE0MDgyMTQ@._V1_UY98_CR43,0,67,98_AL_.jpg"
766,Human Capital (2019),9.2,Drama,"https://m.media-amazon.com/images/M/MV5BOGRiYjFmOTgtYWI5Yy00MGMwLWIzOGQtOTdiM2M3NTAzMmNjXkEyXkFqcGdeQXVyNjgzMjQ0MTA@._V1_UY98_CR64,0,67,98_AL_.jpg"
767,Room for Rent (2019),5.8,"Mystery, Thriller","https://m.media-amazon.com/images/M/MV5BYThmZDYxZDgtNTgzYy00Y2VlLTk1ZTItNTRiMTNjOGMzNWFlXkEyXkFqcGdeQXVyMjgyOTQyNg@@._V1_UX67_CR0,0,67,98_AL_.jpg"
768,The Islands (2019),,Adventure,"https://m.media-amazon.com/images/M/MV5BNGYzODhkY2EtMGE5ZC00YzlhLTk1NjQtNTkwMGUzNDNiNTU2XkEyXkFqcGdeQXVyNDg1NjAzMzE@._V1_UX67_CR0,0,67,98_AL_.jpg"
769,Phil (2019),5.5,"Comedy, Drama","https://m.media-amazon.com/images/M/MV5BZGY2MDQ4MTYtMDgxOC00NTI4LWIyYWQtNDM5MjFiMmY3NTM2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY98_CR0,0,67,98_AL_.jpg"
770,Rascal Does Not Dream of a Dreaming Girl (2019),8.6,"Animation, Drama, Fantasy","https://m.media-amazon.com/images/M/MV5BYjJmZGUyYmItNzBmNi00MTc0LTljNmUtNWU0NGYxZjVmYTUxXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_UY98_CR1,0,67,98_AL_.jpg"
771,Out of Tune (2019),6.3,"Comedy, Drama","https://m.media-amazon.com/images/M/MV5BNTRlNGZhNDctNzA3NC00MTUyLTlmNjEtNjE5MDUxZTdmYzg1XkEyXkFqcGdeQXVyMTIzMjUxMg@@._V1_UY98_CR3,0,67,98_AL_.jpg"
772,Virus (2019),8.1,"Drama, Thriller","https://m.media-amazon.com/images/M/MV5BOGUwNjlkZGQtODdmNy00MDY1LTk4ZTktMjlmNzhjZjI5Zjc1XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY98_CR0,0,67,98_AL_.jpg"
773,Lancaster Skies (2019),5,"Action, Drama, War","https://m.media-amazon.com/images/M/MV5BZmY5MDUwMDAtMTI5OC00ZjBkLWExN2YtNGM5OGQwM2E4YzZmXkEyXkFqcGdeQXVyMzIxODMxMTE@._V1_UX67_CR0,0,67,98_AL_.jpg"
774,Judgementall Hai Kya (2019),6.2,"Comedy, Drama, Thriller","https://m.media-amazon.com/images/M/MV5BZDBmZTZiYWUtMTQ3OS00NzA1LThjNjYtZmE3NzFhMzAzNDFmXkEyXkFqcGdeQXVyOTAzMTc2MjA@._V1_UY98_CR5,0,67,98_AL_.jpg"
775,The Evil Down the Street (2019),5,"Drama, Horror, Mystery","https://m.media-amazon.com/images/M/MV5BMDUzYWFjOTgtZmRkZi00OTIzLWJlNDAtMzBkZGM1ZDE3YjJmXkEyXkFqcGdeQXVyMzEzOTI5NDE@._V1_UY98_CR53,0,67,98_AL_.jpg"
776,3 Days with Dad (2019),3.3,Comedy,"https://m.media-amazon.com/images/M/MV5BMjU0MTY2MTctMTgyNS00ZjkxLWEzNDEtYmE5ZWI2MGFhMWJmXkEyXkFqcGdeQXVyMTg0MTI3Mg@@._V1_UX67_CR0,0,67,98_AL_.jpg"
777,American Exit (2019),4.7,"Adventure, Drama","https://m.media-amazon.com/images/M/MV5BYWVlYjdiN2EtNWZjYy00NmE5LTk0NTctN2U1N2E1NDhmZDkwXkEyXkFqcGdeQXVyMTkyNzUwMzk@._V1_UX67_CR0,0,67,98_AL_.jpg"
778,Hope Gap (2019),7.5,"Drama, Romance","https://m.media-amazon.com/images/M/MV5BMTk1ODY2MzMxN15BMl5BanBnXkFtZTgwMjk2MzQxNjM@._V1_UY98_CR40,0,67,98_AL_.jpg"
779,Light from Light (2019),5.7,Drama,"https://m.media-amazon.com/images/M/MV5BMDIxODJlY2QtYTU3YS00NTI4LWI3NWUtYmRkYTc3YmNkNDkyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg"
780,Fuck de liefde (2019),5.2,"Comedy, Romance","https://m.media-amazon.com/images/M/MV5BZGYzZmE4MmYtZmYyYi00MzhjLThkMTEtZWU4ZGNhZmVkMzI4XkEyXkFqcGdeQXVyMzg0NTMyMg@@._V1_UY98_CR1,0,67,98_AL_.jpg"
781,Durj (2019),7.4,"Crime, Mystery, Thriller","https://m.media-amazon.com/images/M/MV5BNGRjYTg2YTYtZGEwMC00ZDNiLWE0YjYtYTI0MGU2MjQ2ZmQzXkEyXkFqcGdeQXVyMTA1NTUzMTgy._V1_UY98_CR1,0,67,98_AL_.jpg"
782,Confined (2019),2.9,Thriller,"https://m.media-amazon.com/images/M/MV5BYjIwZTliMmMtOGUzYi00OTY1LWEzYzMtMWQ0Y2VmYmQ4YjAzXkEyXkFqcGdeQXVyNjkxMzM1MzE@._V1_UY98_CR5,0,67,98_AL_.jpg"
783,The Knight of Shadows_ Between Yin and Yang (2019),5,"Action, Fantasy, Romance","https://m.media-amazon.com/images/M/MV5BOTNmYWYzMTItOGIyOC00MTRlLWIxM2YtN2YzMDhiOGJhZmYxXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_UY98_CR1,0,67,98_AL_.jpg"
784,Lyrebird (2019),6.7,Drama,"https://m.media-amazon.com/images/M/MV5BMDY3N2IxNTctNjQwNS00MWI1LTgyMmItZjE0MjcxNjQ4ZWY0XkEyXkFqcGdeQXVyNjgzMjQ0MTA@._V1_UY98_CR53,0,67,98_AL_.jpg"
785,Karakomik Filmler (2019),7.6,"Comedy, Drama","https://m.media-amazon.com/images/M/MV5BNjA3ZGJhYTQtN2U1YS00NGJlLWE5YmEtNWFmMDZkMjhiM2UzXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_UY98_CR1,0,67,98_AL_.jpg"
786,Tesla (2019),,Biography,"https://m.media-amazon.com/images/M/MV5BNDg3ZTUxZGEtZjIyNy00ZGIxLWFhZDUtOGU2ZDgyMzEwNjg0XkEyXkFqcGdeQXVyMDQ2MDk1Mw@@._V1_UY98_CR2,0,67,98_AL_.jpg"
787,Investigation 13 (2019),4.7,"Horror, Thriller","https://m.media-amazon.com/images/M/MV5BYTBhNmRkZWItY2M3OS00ZmU5LWEwNGYtNzhiZDQwMGQ2ZDZiXkEyXkFqcGdeQXVyMTMzMTc1NTk@._V1_UX67_CR0,0,67,98_AL_.jpg"
788,Krasue_ Inhuman Kiss (2019),6.6,"Drama, Horror, Romance","https://m.media-amazon.com/images/M/MV5BMTYzODY3ZDktOWI1Yy00MDZhLWI0NGMtNTg1ZjdjYTVmOWRlXkEyXkFqcGdeQXVyNjYyODQ0NDY@._V1_UY98_CR1,0,67,98_AL_.jpg"
789,Grandfathers (2019),8.1,"Comedy, Drama","https://m.media-amazon.com/images/M/MV5BMGU3MjUzNjMtNmI5My00MTFhLWExYTktZDQ3NDNkYjFkMjk3XkEyXkFqcGdeQXVyMjMwMjAwMzI@._V1_UY98_CR1,0,67,98_AL_.jpg"
790,Britt-Marie Was Here (2019),4.9,"Comedy, Drama, Sport","https://m.media-amazon.com/images/M/MV5BMzg3OWNjMTYtMWY4ZC00ODdhLWJiYjEtNDlmNmY1YjAzMDdhXkEyXkFqcGdeQXVyMjUzMTYzMDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
791,The Big Trip (2019),5.3,"Animation, Adventure, Comedy","https://m.media-amazon.com/images/M/MV5BOGM2ZWI0YWUtNTU4Yy00YWUzLWI1NmItZjBmZGI4ODU1Zjg5XkEyXkFqcGdeQXVyMjExNjkyNTQ@._V1_UY98_CR1,0,67,98_AL_.jpg"
792,De Club van Lelijke Kinderen (2019),5.7,"Action, Adventure, Family","https://m.media-amazon.com/images/M/MV5BODdkMTMyNjktMTA2NS00ZjQyLTlhM2QtNWE2OTgwOWZkNjViXkEyXkFqcGdeQXVyNTAyMjE2Njc@._V1_UY98_CR1,0,67,98_AL_.jpg"
793,Password (2019),7.5,Thriller,"https://m.media-amazon.com/images/M/MV5BNjJhZDY5ZDEtNjI5OS00MGMxLWFiYTUtMGRkYWVkNzRjOTFjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY98_CR1,0,67,98_AL_.jpg"
794,Bennett's War (2019),5.1,Sport,"https://m.media-amazon.com/images/M/MV5BNzM0Zjc2OWMtY2NjNS00ZmE4LWEzZTItMWE3NjQ4NmM2YzE2XkEyXkFqcGdeQXVyOTk0Mjc1MDA@._V1_UY98_CR0,0,67,98_AL_.jpg"
795,Enes Batur Gerรงek Kahraman (2019),3.5,Comedy,"https://m.media-amazon.com/images/M/MV5BMjkyMmU4ODItM2FmOC00NDhmLTk5NmItYzdiYjRhNjEzYmQ4XkEyXkFqcGdeQXVyNjk1ODU3MTk@._V1_UY98_CR1,0,67,98_AL_.jpg"
796,Clown (2019),3,Horror,"https://m.media-amazon.com/images/M/MV5BYTlmMWJlYWQtMTNkYi00NTE2LThlNjQtOGQ3NWNiM2FjMWJjXkEyXkFqcGdeQXVyMjI5NTQ1Mjk@._V1_UY98_CR3,0,67,98_AL_.jpg"
797,You Will Die at 20 (2019),8.6,Drama,"https://m.media-amazon.com/images/M/MV5BZjI3YjE1MWQtZmQwNi00MTkxLWE2ZjMtZDM3OGY2OTNmYjM5XkEyXkFqcGdeQXVyNjgzMjQ0MTA@._V1_UY98_CR1,0,67,98_AL_.jpg"
798,The Divine Fury (2019),6.3,"Action, Horror, Thriller","https://m.media-amazon.com/images/M/MV5BNGM5MzNiMTctZTU4Yi00ZGVhLWIyODQtMDdiNjg1Y2M1ODJlXkEyXkFqcGdeQXVyNTUxNTI3MzY@._V1_UX67_CR0,0,67,98_AL_.jpg"
799,White As Snow (2019),5.2,"Comedy, Drama","https://m.media-amazon.com/images/M/MV5BZGE0YzAwOGYtMTEwYi00NWVmLTljNTQtODBjOGNjOWRjNGFkXkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_UY98_CR3,0,67,98_AL_.jpg"
800,The True Adventures of Wolfboy (2019),6.9,Drama,"https://m.media-amazon.com/images/M/MV5BZGU5ZDJlZDgtMjUyNC00NDVmLThiZjItNmRmN2YwODNmMWIzXkEyXkFqcGdeQXVyODQ3NTM0OTA@._V1_UY98_CR83,0,67,98_AL_.jpg"
801,Bad Guys_ The Movie (2019),6.3,"Action, Crime","https://m.media-amazon.com/images/M/MV5BNTM1YzA4NzEtMzdiMy00NzRiLTk0ZTctMDYzMjE3NzYzOGE4XkEyXkFqcGdeQXVyODM3MDgwNTk@._V1_UY98_CR0,0,67,98_AL_.jpg"
802,The Weasel's Tale (2019),7.4,"Comedy, Drama","https://m.media-amazon.com/images/M/MV5BMTFhYWZjZmYtMTk4NS00NzFlLTgwMjMtZWRjNDFmMGEyMGFmXkEyXkFqcGdeQXVyODcyNTYzMTA@._V1_UY98_CR1,0,67,98_AL_.jpg"
803,Good Sam (2019),5.6,Comedy,"https://m.media-amazon.com/images/M/MV5BNzcxMDM0NWItMTVmYS00ODFkLWFlZTctYjZhMGM4ZTg3ODJiXkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_UX67_CR0,0,67,98_AL_.jpg"
804,Lootcase (2019),6.7,Comedy,"https://m.media-amazon.com/images/M/MV5BNWJhZGMwZDktNWIxNi00YTI2LWEyMGEtZDBkOGE0N2ZiYzhlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY98_CR0,0,67,98_AL_.jpg"
805,Chal Mera Putt (2019),8.3,"Comedy, Drama","https://m.media-amazon.com/images/M/MV5BNmQzMTUzZWYtNWNjMC00ZjU2LTgwOTMtODhlMmVkYTU2ODAzXkEyXkFqcGdeQXVyODk2ODI3MTU@._V1_UY98_CR0,0,67,98_AL_.jpg"
806,Stray (2019),4.8,"Action, Crime, Fantasy","https://m.media-amazon.com/images/M/MV5BMmE0NTY5YmItYjY1ZC00MWQ3LTg4NDItNzEyMjhhYjFhNGY5XkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_UX67_CR0,0,67,98_AL_.jpg"
807,Against the Clock (2019),2.6,Thriller,"https://m.media-amazon.com/images/M/MV5BN2NmODNlMDctZDk1Ni00YjE4LTljMTEtY2RhZTkwNWM2NmY1XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_UX67_CR0,0,67,98_AL_.jpg"
808,In Full Bloom (2019),6.5,"Action, Crime, Drama","https://m.media-amazon.com/images/M/MV5BYzExZWM2OWQtOGJhMi00M2I4LWFiY2MtOGQxYTFlNjg1ZWRmXkEyXkFqcGdeQXVyOTEwMTgyMTI@._V1_UY98_CR3,0,67,98_AL_.jpg"
809,SGT. Will Gardner (2019),5.9,"Action, Adventure, Drama","https://m.media-amazon.com/images/M/MV5BZGFmMGExZGItYTc3OS00ODZiLTk1ZmYtMTliZTBiODEwMzI4XkEyXkFqcGdeQXVyODY4ODQ0ODI@._V1_UX67_CR0,0,67,98_AL_.jpg"
810,The Wretched (2019),6.8,Horror,"https://m.media-amazon.com/images/M/MV5BNWQ5YjI3ZmMtYTRhZS00NjEzLWFkMjYtYmE0Nzc5YmNhY2I1XkEyXkFqcGdeQXVyMjQxNTMwMTU@._V1_UX67_CR0,0,67,98_AL_.jpg"
811,Turkish Ice-Cream (2019),6.6,"Drama, History, War","https://m.media-amazon.com/images/M/MV5BMmJhMDk4N2YtNWQwOS00YmRlLTk4NTYtZWNlNzNlN2M2Nzg4XkEyXkFqcGdeQXVyOTQ1Mzg0Mzg@._V1_UY98_CR0,0,67,98_AL_.jpg"
812,First Lady II Maria's Revenge (2019),,Drama,"https://m.media-amazon.com/images/M/MV5BMmYwN2ZmZTMtNjE2YS00MmIzLWE1NTMtYWY4NjljNzAyNWVkXkEyXkFqcGdeQXVyMjg5MTQ1NTE@._V1_UY98_CR5,0,67,98_AL_.jpg"
813,Altar Rock (2019),,Thriller,"https://m.media-amazon.com/images/M/MV5BMWI4ZjczMzUtOThjYy00ZDFmLWEyZDAtNDA3OTNmZTdiNmI4XkEyXkFqcGdeQXVyMjYxMDQ2MTY@._V1_UX67_CR0,0,67,98_AL_.jpg"
814,Next Level (2019),5.3,Family,"https://m.media-amazon.com/images/M/MV5BODUyMWQ2ZWQtOTZiMC00OWZkLWE0ZWUtMDlkYmUwNmJjYTI5XkEyXkFqcGdeQXVyODA2NjA5MDM@._V1_UY98_CR0,0,67,98_AL_.jpg"
815,Making Noise Quietly (2019),4.6,Drama,"https://m.media-amazon.com/images/M/MV5BNGExNTUxYWMtOWY5ZS00MjlmLTlmOTUtYzNmZWJmYmVmODRlXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_UX67_CR0,0,67,98_AL_.jpg"
816,The Diary of Diana B (2019),8,"Biography, Drama, History","https://m.media-amazon.com/images/M/MV5BYmJhNTZkZDUtMDFlOS00MDlkLTg2MmItYjM4Nzk4OTlmOGI2XkEyXkFqcGdeQXVyNzQwNzQwMjA@._V1_UY98_CR1,0,67,98_AL_.jpg"
817,Red 11 (2019),5.9,"Horror, Sci-Fi, Thriller","https://m.media-amazon.com/images/M/MV5BMTY2NjU4NTU1Nl5BMl5BanBnXkFtZTgwMjg1ODk1NzM@._V1_UX67_CR0,0,67,98_AL_.jpg"
818,438 Days (2019),7.3,Drama,"https://m.media-amazon.com/images/M/MV5BNWU3MWQyMzctMDM0ZS00MzA4LTk2NzgtOGZiODE1ZGVlMTExXkEyXkFqcGdeQXVyMTIzMjUxMg@@._V1_UX67_CR0,0,67,98_AL_.jpg"
819,Fanny Lye Deliver'd (2019),8,"Drama, History, Thriller","https://m.media-amazon.com/images/M/MV5BNzc4MGI0MTYtZjQ4OC00Zjc2LThjODgtM2I0OWFmZGM1YjQyXkEyXkFqcGdeQXVyMTYwNTA5Mg@@._V1_UX67_CR0,0,67,98_AL_.jpg"
820,Night Walk (2019),6.8,"Crime, Drama, Romance","https://m.media-amazon.com/images/M/MV5BYTUwZGEwYjUtMTBiNi00MzNjLWE2NGQtOWRkZmQwNzAxYzRkXkEyXkFqcGdeQXVyMjM3NjUwMDg@._V1_UX67_CR0,0,67,98_AL_.jpg"
821,In Family I Trust (2019),6.2,Comedy,"https://m.media-amazon.com/images/M/MV5BMDgxMDUxZDUtYmU1Yy00ZDFmLWEzMjEtM2IzZjBmMWUzMDY1XkEyXkFqcGdeQXVyMTM2Mzg4MA@@._V1_UY98_CR1,0,67,98_AL_.jpg"
822,The Place of No Words (2019),6.9,Fantasy,"https://m.media-amazon.com/images/M/MV5BYzg4ZDliMTMtMmY5Zi00YjEwLTlkN2ItZDZmM2ZhY2U5ZGVjXkEyXkFqcGdeQXVyNDkxMDAwNw@@._V1_UX67_CR0,0,67,98_AL_.jpg"
823,The Way We Weren't (2019),7.4,Comedy,"https://m.media-amazon.com/images/M/MV5BNzIxYzE0NWItMGMwMi00MzA5LTkxYmEtOTlkNmM3MTQyMjdiXkEyXkFqcGdeQXVyNjA4MjgxMQ@@._V1_UX67_CR0,0,67,98_AL_.jpg"
824,Zombi Child (2019),6.3,Fantasy,"https://m.media-amazon.com/images/M/MV5BYzFlYzg4YmYtN2JiOC00Y2ZlLTllZGEtNzliZDIyYWQyMDVkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY98_CR2,0,67,98_AL_.jpg"
825,The Nomads (2019),,Sport,"https://m.media-amazon.com/images/M/MV5BZTU3YzkxN2UtNDNhMC00NTJmLWE2N2EtYjYxZGIxNmE2ZjQ1XkEyXkFqcGdeQXVyODUwOTkyNjQ@._V1_UX67_CR0,0,67,98_AL_.jpg"
826,My Zoe (2019),6.8,Drama,"https://m.media-amazon.com/images/M/MV5BYWE3MDA1ZDEtYjNlZC00MTQ2LTkwMWEtMmY3OTljZmU2Y2EyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY98_CR64,0,67,98_AL_.jpg"
827,The Entity (2019),6.3,"Horror, Thriller","https://m.media-amazon.com/images/M/MV5BMGQ2NWI4NWQtNGQwNi00ZDRiLTg5MzYtNjQ5MmQ5OWY1MjUxXkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_UY98_CR0,0,67,98_AL_.jpg"
828,Legiony (2019),5.3,"Drama, History, Romance","https://m.media-amazon.com/images/M/MV5BOTMxNjNjMGEtYmNkNi00YWRiLTgzN2ItNTgzMmZhYjdlMzkzXkEyXkFqcGdeQXVyMTEwMTY3NDI@._V1_UY98_CR0,0,67,98_AL_.jpg"
829,Crown Vic (2019),6,"Action, Crime, Drama","https://m.media-amazon.com/images/M/MV5BNzJjODAwYjQtYzc2ZS00NTVjLThkZjUtM2UyYzI4NzY1YTMyXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UY98_CR1,0,67,98_AL_.jpg"
830,The Kindness of Strangers (2019),5.6,Drama,"https://m.media-amazon.com/images/M/MV5BODM1MjI1YTQtZTQ4My00MTQzLWE0M2ItZjVjYmI3MTFjZjg2XkEyXkFqcGdeQXVyMTQ5Mzc5MDU@._V1_UX67_CR0,0,67,98_AL_.jpg"
