imdbid,title,IMDB_Score,genres,poster_link
22,Rambo_ Last Blood (2019),6.7,"Action, Adventure, Thriller","https://m.media-amazon.com/images/M/MV5BNTAxZWM2OTgtOTQzOC00ZTI5LTgyYjktZTRhYWM4YWQxNWI0XkEyXkFqcGdeQXVyMjMwNDgzNjc@._V1_UX67_CR0,0,67,98_AL_.jpg"
23,Parasite (2019),8.5,"Comedy, Drama, Thriller","https://m.media-amazon.com/images/M/MV5BOWVmODY4MjYtZGViYS00MzJjLWI3NmItMGFmMDRkMzI1OTU3XkEyXkFqcGdeQXVyNTQ0NTUxOTA@._V1_UY98_CR3,0,67,98_AL_.jpg"
24,Maleficent_ Mistress of Evil (2019),7,"Adventure, Family, Fantasy","https://m.media-amazon.com/images/M/MV5BZjJiYTExOTAtNWU0Yi00NzJjLTkwOTgtOTU2NWM1ZjJmYWVhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg"
25,Fractured (2019),6.3,Thriller,"https://m.media-amazon.com/images/M/MV5BZTE0MWE4NzMtMzc4Ny00NWE4LTg2OTQtZmIyNDdhZjdiZmJhXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_UX67_CR0,0,67,98_AL_.jpg"
26,Star Wars_ The Rise of Skywalker (2019),,"Action, Adventure, Fantasy","https://m.media-amazon.com/images/M/MV5BZWU1NDI3YjEtZTlmMy00Y2FmLWI1ZDYtMjYwNDUxYTdlODllXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_UX67_CR0,0,67,98_AL_.jpg"
27,Judy (2019),7.2,"Biography, Drama, History","https://m.media-amazon.com/images/M/MV5BYmE0OTE5NWItMGYyZi00MzUxLWFjN2QtYzBkZGRjZGVmMGFmXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX67_CR0,0,67,98_AL_.jpg"
28,Stuber (2019),6.2,"Action, Comedy, Crime","https://m.media-amazon.com/images/M/MV5BOGE1ZjFhYzAtYWM4ZC00NGI1LWFmYzMtZWRhZDhjMjE4YzBjXkEyXkFqcGdeQXVyODQzNTE3ODc@._V1_UX67_CR0,0,67,98_AL_.jpg"
29,The Art of Self-Defense (2019),6.9,"Comedy, Crime, Drama","https://m.media-amazon.com/images/M/MV5BZDlkOGE4YTUtYWRlZS00YjFkLWE3NmUtNzNlNjdiZTk2NzdhXkEyXkFqcGdeQXVyNDY2MjcyOTQ@._V1_UX67_CR0,0,67,98_AL_.jpg"
30,Charlie's Angels (2019),,"Action, Adventure, Comedy","https://m.media-amazon.com/images/M/MV5BZDAzOTYxY2YtNzBmNi00YmE5LTk0NTktN2YwNTNiNGZjNWIzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg"
31,Aladdin (2019),7.1,"Adventure, Family, Fantasy","https://m.media-amazon.com/images/M/MV5BMjQ2ODIyMjY4MF5BMl5BanBnXkFtZTgwNzY4ODI2NzM@._V1_UX67_CR0,0,67,98_AL_.jpg"
32,Fast & Furious Presents_ Hobbs & Shaw (2019),6.6,"Action, Adventure","https://m.media-amazon.com/images/M/MV5BOTIzYmUyMmEtMWQzNC00YzExLTk3MzYtZTUzYjMyMmRiYzIwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY98_CR0,0,67,98_AL_.jpg"
33,Crawl (2019),6.3,"Action, Drama, Horror","https://m.media-amazon.com/images/M/MV5BNDdlMDM5MGQtZDEzMy00N2IyLWFiODMtYWVhODE4MzBiZjg3XkEyXkFqcGdeQXVyODQxMTI4MjM@._V1_UX67_CR0,0,67,98_AL_.jpg"
34,The Lighthouse (2019),8.1,"Drama, Fantasy, Horror","https://m.media-amazon.com/images/M/MV5BZmE0MGJhNmYtOWNjYi00Njc5LWE2YjEtMWMxZTVmODUwMmMxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg"
35,Abominable (2019),7.1,"Animation, Adventure, Comedy","https://m.media-amazon.com/images/M/MV5BMTYzY2U0NjctNDJkNS00MmE3LWFiZGQtZjllZTIzYTQ4ODJkXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg"
36,Yesterday (2019),6.9,"Comedy, Fantasy, Music","https://m.media-amazon.com/images/M/MV5BMjQ0NTI0NjkyN15BMl5BanBnXkFtZTgwNzY0MTE0NzM@._V1_UX67_CR0,0,67,98_AL_.jpg"
37,John Wick_ Chapter 3 - Parabellum (2019),7.6,"Action, Crime, Thriller","https://m.media-amazon.com/images/M/MV5BMDg2YzI0ODctYjliMy00NTU0LTkxODYtYTNkNjQwMzVmOTcxXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX67_CR0,0,67,98_AL_.jpg"
38,Scary Stories to Tell in the Dark (2019),6.3,"Horror, Mystery, Thriller","https://m.media-amazon.com/images/M/MV5BNjNiM2E3NDItNGU5NS00N2UwLTk2YWItZWRmMGFlNjJhYzE3XkEyXkFqcGdeQXVyOTQ5MTIwMjM@._V1_UY98_CR1,0,67,98_AL_.jpg"
39,Jexi (2019),6.9,Comedy,"https://m.media-amazon.com/images/M/MV5BYWM3OTk0NTItZjBlNi00NGE3LTk4MGQtODdlMWM2OWI5MWE3XkEyXkFqcGdeQXVyMTA2MDQ3MTQ3._V1_UX67_CR0,0,67,98_AL_.jpg"
40,Doom_ Annihilation (2019),3.5,"Action, Adventure, Horror","https://m.media-amazon.com/images/M/MV5BNzc3ZWIwYjktZWE1ZC00MTRlLWE1NzUtYTYzYjJlNmMyYTZhXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_UY98_CR1,0,67,98_AL_.jpg"
41,Doctor Sleep (2019),,Horror,"https://m.media-amazon.com/images/M/MV5BYmY3NGJlYTItYmQ4OS00ZTEwLWIzODItMjMzNWU2MDE0NjZhXkEyXkFqcGdeQXVyMzQzMDA3MTI@._V1_UX67_CR0,0,67,98_AL_.jpg"
42,Anna (2019),6.6,"Action, Thriller","https://m.media-amazon.com/images/M/MV5BZjE4M2FjMDQtZGQ5Mi00YTliLWIwZmMtZGJkMjgxYTY5ZTlmXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX67_CR0,0,67,98_AL_.jpg"
43,Dark Phoenix (2019),5.8,"Action, Adventure, Sci-Fi","https://m.media-amazon.com/images/M/MV5BMjAwNDgxNTI0M15BMl5BanBnXkFtZTgwNTY4MDI1NzM@._V1_UX67_CR0,0,67,98_AL_.jpg"
44,Jay and Silent Bob Reboot (2019),7.8,Comedy,"https://m.media-amazon.com/images/M/MV5BMDBiN2Y1NTMtYzc1ZS00ODlhLWI3NGYtY2M5ODA1ZmY4ZTdjXkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_UX67_CR0,0,67,98_AL_.jpg"
45,Rocketman (2019),7.4,"Biography, Drama, Music","https://m.media-amazon.com/images/M/MV5BYTJmMzc0YTctYmQzOS00YWJjLTgzMmEtYjE1NzA1N2QyYzE3XkEyXkFqcGdeQXVyNjg3MDMxNzU@._V1_UX67_CR0,0,67,98_AL_.jpg"
46,1917 (2019),,"Drama, War","https://m.media-amazon.com/images/M/MV5BOTdmNTFjNDEtNzg0My00ZjkxLTg1ZDAtZTdkMDc2ZmFiNWQ1XkEyXkFqcGdeQXVyNTAzNzgwNTg@._V1_UX67_CR0,0,67,98_AL_.jpg"
47,Cold Pursuit (2019),6.2,"Action, Crime, Drama","https://m.media-amazon.com/images/M/MV5BM2YyYWI3NjItMWEwZS00MzhkLWJmZTMtZDAzYjRhODM0OTMzXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UX67_CR0,0,67,98_AL_.jpg"
48,After (2019),5.4,"Drama, Romance","https://m.media-amazon.com/images/M/MV5BOGUwMjk3YzktNDI0Yy00MzFiLWFjNmEtYTA2ODVjMzNhODhjXkEyXkFqcGdeQXVyOTQ1MDI4MzY@._V1_UX67_CR0,0,67,98_AL_.jpg"
